Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.500%,4.531%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.375%,4.392%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.125%,4.171%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.125%,4.205%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.250%,4.516%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.375%,4.658%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.375%,4.716%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.375%,4.713%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.250%,4.757%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.644%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.250%,4.854%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.000%,4.811%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.875%,4.884%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.250%,4.378%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.125%,4.336%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,3.875%,4.152%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.000%,4.499%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,3.750%,4.489%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.625%,4.586%,300000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.250%,4.382%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.246%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.375%,4.773%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.375%,4.823%,500000,20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.839%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.375%,4.821%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.416%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.526%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.884%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.946%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.005%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-26,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.147%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
