Bank_Name,Ticker
ALLY,ALLY
CAPITAL ONE,COF
CITIGROUP INC,C
PNC FINANCIAL SERVICES GROUP INC,PNC
SUNTRUST BANKS INC,STI
Synchrony,SYF
WELLS FARGO,WFC
JP MORGAN CHASE & Co.,JPM
BANK OF AMERICA CORP,BAC
