Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,1000,9999.99,offline,36,Fixed,0.30%,0.30%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,10000,24999.99,offline,36,Fixed,0.35%,0.35%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,25000,99999.99,offline,36,Fixed,0.40%,0.40%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,100000,499999.99,offline,36,Fixed,0.45%,0.45%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,500000,,offline,36,Fixed,0.50%,0.50%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,1000,,offline,12,Fixed,0.15%,0.15%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Essential Savings,0,,Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"1,000",,Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"2,499.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"2,500","9,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"10,000","24,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"25,000","49,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"50,000","99,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"1,00,000","2,49,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"2,50,000","4,99,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"5,00,000","9,99,999.99",Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,1,,Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Balanced Banking,"3,000",,Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Essential Checking,500,,Offline,,Fixed,,
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,,"2,499.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"2,500","9,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"10,000","24,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"25,000",,Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"9,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"10,000","24,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"25,000","49,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"50,000","99,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"1,00,000","2,49,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"2,50,000","4,99,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"5,00,000","9,99,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"10,00,000","19,99,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,"20,00,000",,Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"9,999.99",Offline,,Fixed,,0.01%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,"10,000","24,999.99",Offline,,Fixed,,0.03%
 2018-03-20,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,"25,000","49,999.99",Offline,,Fixed,,0.05%
