Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.88%,4.40%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.50%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.38%,4.87%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.25%,4.90%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.25%,4.96%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,5.14%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.50%,4.67%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.38%,4.60%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.88%,4.13%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.12%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.38%,4.72%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.25%,4.74%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.25%,4.80%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,4.98%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.25%,4.38%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.25%,4.43%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.25%,4.46%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,4.13%,4.50%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.00%,4.44%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,3.75%,4.46%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,3.88%,4.62%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,3.75%,4.72%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.75%,5.01%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.50%,4.86%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.25%,4.76%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
