Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.375%,4.806%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.397%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.498%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.500%,5.01%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.021%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.375%,5.094%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.254%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.672%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.375%,4.595%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.133%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.119%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.500%,4.652%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.866%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.939%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.095%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.250%,4.39%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.375%,4.524%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.250%,4.477%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,4.250%,4.547%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.000%,4.5%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,3.750%,4.534%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,3.875%,4.722%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,3.750%,4.84%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.750%,5.013%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.500%,4.871%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.250%,4.759%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.500%,5.141%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.875%,5.253%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.500%,4.610%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.375%,4.481%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.000%,4.172%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.500%,4.857%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.500%,4.904%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.668%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.487%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.000%,4.577%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.000%,4.691%,500000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.6250%,4.8150%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.3750%,4.6170%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.8750%,4.2340%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.7500%,4.2660%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,4.0000%,5.0030%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.8750%,4.8760%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.1250%,4.8410%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.2500%,4.7900%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.500%,5.369%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.500%,5.610%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.625%,4.948%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.625%,5.208%,100000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.375%,4.495%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
