Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.875%,4.399%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.750%,4.378%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.375%,4.650%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.250%,4.614%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.125%,4.579%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.000%,4.544%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,3.875%,4.510%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,3.750%,4.496%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.380%,4.740%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.250%,4.750%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.660%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.250%,4.810%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.000%,4.750%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.000%,4.830%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.500%,4.700%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.250%,4.520%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.350%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.130%,4.550%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,3.880%,4.540%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.750%,4.580%,"$200,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.380%,4.480%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.130%,4.320%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.380%,4.710%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.500%,4.800%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,offline,30.0,Fixed,4.50%,4.88%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20Fixed,,offline,20.0,Fixed,4.25%,4.73%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,15Fixed,,offline,30.0,Fixed,3.88%,4.43%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,10Fixed,,offline,30.0,Fixed,3.75%,4.55%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,offline,30.0,Variable,4.38%,4.92%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,offline,30.0,Variable,4.38%,4.96%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,offline,30.0,Variable,4.38%,5.00%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,offline,30.0,Variable,4.63%,5.15%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,offline,30.0,Fixed,4.50%,4.73%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20Fixed,,offline,20.0,Fixed,4.25%,4.53%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,15Fixed,,offline,30.0,Fixed,3.88%,4.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,10Fixed,,offline,30.0,Fixed,3.75%,4.18%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,offline,30.0,Variable,4.38%,4.77%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,offline,30.0,Variable,4.38%,4.81%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,offline,30.0,Variable,4.38%,4.85%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,offline,30.0,Variable,4.63%,5.00%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
