Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
03/09/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,,Online,12.0,Fixed,1.982%,2.000%
03/09/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,CD,36MCDF,360 CDs 12 months,,Online,36.0,Fixed,2.276%,2.300%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"Below $25,000",Offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"$25,000-$49,999.99",Offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"$50,000+",Offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"Below $10,000",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$10,000-$24,999.99",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$25,000-$49,999.99",Offline,,Variable,0.08%,0.08%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$50,000-$99,999.99",Offline,,Variable,0.08%,0.08%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$100,000-$499,999.99",Offline,,Variable,0.10%,0.10%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$500,000-$999,999.99",Offline,,Variable,0.13%,0.13%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"$1,000,000+",Offline,,Variable,0.13%,0.13%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"Below $10,000",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$10,000-$24,999.99",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$25,000-$49,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$50,000-$99,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$100,000-$499,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$500,000-$999,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$1,000,000+",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"Below $10,000",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$10,000-$24,999.99",Offline,,Variable,0.04%,0.04%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$25,000-$49,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$50,000-$99,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$100,000-$499,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$500,000-$999,999.99",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$1,000,000+",Offline,,Variable,0.06%,0.06%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"Below $10,000",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$10,000-$24,999.99",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$25,000-$49,999.99",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$50,000-$99,999.99",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$100,000-$499,999.99",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$500,000-$999,999.99",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,3MCDF,3 months,"$1,000,000+",Offline,3.0,Fixed,0.05%,0.05%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"Below $10,000",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$10,000-$24,999.99",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$25,000-$49,999.99",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$50,000-$99,999.99",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$100,000-$499,999.99",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$500,000-$999,999.99",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$1,000,000+",Offline,6.0,Fixed,0.07%,0.07%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"Below $10,000",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$10,000-$24,999.99",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$25,000-$49,999.99",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$50,000-$99,999.99",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$100,000-$499,999.99",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$500,000-$999,999.99",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$1,000,000+",Offline,12.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"Below $10,000",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$10,000-$24,999.99",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$25,000-$49,999.99",Offline,24.0,Fixed,0.50%,0.50%
