Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.125%,4.507%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.000%,4.456%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.875%,4.406%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.750%,4.385%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.500%,4.690%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.375%,4.655%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.250%,4.620%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.125%,4.584%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.000%,4.549%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,3.875%,4.514%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,3.750%,4.500%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.38%,4.74%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.25%,4.74%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.00%,4.64%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.38%,4.87%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.00%,4.75%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.00%,4.83%,"$100,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.25%,4.41%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.13%,4.32%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,3.88%,4.15%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.13%,4.51%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,3.75%,4.43%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.63%,4.50%,"$300,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.38%,4.48%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.13%,4.31%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.50%,4.76%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.50%,4.80%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.881%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
