Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.500%,4.531%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.375%,4.391%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.125%,4.131%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.125%,4.195%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.375%,4.588%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.500%,4.721%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.500%,4.765%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.375%,4.734%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.250%,4.743%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.638%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.375%,4.923%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.125%,4.874%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.000%,4.934%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.250%,4.400%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.125%,4.328%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,3.875%,4.150%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.125%,4.561%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,3.750%,4.509%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.750%,4.625%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.250%,4.391%,"$500,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.125%,4.302%,"$500,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.625%,4.886%,"$500,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.625%,4.923%,"$500,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.881%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.250%,4.734%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.427%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.52%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.888%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.969%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,5.031%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.236%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.500%,4.729%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.250%,4.528%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.169%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.151%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.738%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.818%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.88%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.081%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,5.000%,5.211%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.625%,4.914%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.03%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.044%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.142%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
