 B&Bs, apartments, boats, cabins, campgrounds, capsule hotels, cottages, country houses, economy hotels, farm stays, guest houses, homestays, hostels, inns, lodges, love hotels, luxury tents, motels, resort villages, resorts, riads, ryokans, serviced apartments, vacation homes, vacation rentals, villas,CountryName,No of Hotels,Date
"6,743","32,523",77,61,67,,419,69,7,168,"5,554","6,395",422,609,15,,9,55,116,160,,,620,"9,017","48,803","9,017",Germany,"70,003",06-13-2018
3,,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,14,06-13-2018
637,"1,635",8,,114,,70,17,,29,130,174,112,80,,,3,31,20,16,,,30,"19,662","22,060","19,662",Denmark,"24,873",06-13-2018
9,15,,,,,3,,,,5,5,,,,,,,,,,,,5,29,5,Dominica,96,06-13-2018
208,"1,144",,9,4,,395,24,6,3,111,162,29,13,21,,,,8,120,,,158,530,"1,961",530,Dominican Republic,"3,026",06-13-2018
14,94,,,,,7,,,,12,12,,,,,,,,,,,7,18,125,18,Algeria,273,06-13-2018
781,690,,10,11,,105,48,14,12,475,596,238,139,146,,4,,7,18,,,45,171,"1,706",171,Ecuador,"3,624",06-13-2018
297,"1,613",4,16,45,,146,63,,30,253,328,127,26,21,,,9,64,,,,29,470,"2,636",470,Estonia,"3,456",06-13-2018
94,"1,014",,143,24,,289,7,,,60,70,113,14,18,,,4,,416,,,61,193,"1,464",193,Egypt,"2,814",06-13-2018
,,,,,,,,,,,,,,,,,,,,,,,,,,Eritrea,3,06-13-2018
"5,932","50,412",76,557,369,,"13,991","5,186",11,196,"4,873","5,295","1,132",152,38,9,16,16,106,276,,,816,"23,587","86,085","23,587",Spain,"109,768",06-13-2018
205,15,,,,,3,,,,186,201,6,5,25,,,,,9,,,10,,233,,Ethiopia,604,06-13-2018
272,"1,609",3,189,64,,521,31,,43,131,154,98,37,20,,3,28,49,56,,,48,"3,015","5,257","3,015",Finland,"7,239",06-13-2018
9,25,,,,,16,,,,4,10,8,,11,,,,,96,,,,33,73,33,Fiji,296,06-13-2018
,,,,,,,,,,,,,,,,,,,,,,,,,,Falkland Islands (Malvinas),4,06-13-2018
,,,,,,,,,,,,,,,,,,,3,,,,,,,Micronesia,6,06-13-2018
23,21,,,,,4,,,,12,12,,,,,,,,,,,,21,66,21,Faroe Islands,82,06-13-2018
"15,215","37,595",99,"1,639","1,512",,"6,206",386,,91,"3,032","3,609",152,148,84,7,109,16,702,160,,,"1,989","26,605","83,841","26,605",France,"116,475",06-13-2018
8,16,,,,,,,,,6,6,,,,,,,,,,,10,,25,,Gabon,67,06-13-2018
"12,632","15,005",26,244,105,5,"1,777",592,9,172,"4,488","4,997",515,"1,766",371,,76,51,437,67,,,282,"24,811","53,252","24,811",United Kingdom,"71,873",06-13-2018
7,29,,,,,6,,,,4,6,,,,,,,,11,,,4,16,54,16,Grenada,94,06-13-2018
"2,814","8,955",,8,6,,252,113,8,3,"2,586","2,789",410,133,10,3,,9,4,52,,,183,585,"12,375",585,Georgia,"16,168",06-13-2018
3,22,,,,,,,,,3,3,,,,,,,,,,,4,4,29,4,French Guiana,57,06-13-2018
367,167,,,,,19,,,,320,330,17,8,92,,,,,23,,,19,61,598,61,Ghana,"1,392",06-13-2018
,18,3,,,,,,,,,,,,,,,,,,,,,,22,,Gibraltar,28,06-13-2018
