Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20Fixed,,Offline,20,Fixed,4.25%,4.73%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,15Fixed,,Offline,30,Fixed,3.88%,4.43%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,10Fixed,,Offline,30,Fixed,3.75%,4.55%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.38%,4.92%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.38%,4.96%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.38%,5.00%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,5.15%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,Offline,30,Fixed,4.50%,4.73%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20Fixed,,Offline,20,Fixed,4.25%,4.53%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,15Fixed,,Offline,30,Fixed,3.88%,4.17%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
