Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,4.125%,4.502%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.000%,4.454%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,3.750%,4.47%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,3.875%,4.634%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,3.750%,4.735%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.750%,5.013%,100000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.500%,4.856%,100000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.250%,4.740%,100000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.500%,5.123%,100000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.875%,5.209%,100000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.703%,300000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.375%,4.481%,300000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.000%,4.153%,300000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.500%,4.837%,300000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.625%,4.883%,300000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.668%,500000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.468%,500000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30.0,Variable,4.000%,4.503%,500000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30.0,Variable,4.000%,4.603%,500000 ,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.6250%,4.8150%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.3750%,4.6170%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.8750%,4.2340%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.7500%,4.2660%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.8750%,4.9670%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.8750%,4.8540%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.1250%,4.8220%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.2500%,4.7860%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.500%,5.358%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.500%,5.591%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.500%,4.843%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.500%,5.100%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.375%,4.495%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.125%,4.287%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.750%,3.916%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.625%,3.917%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.750%,4.853%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.750%,4.739%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.000%,4.694%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.125%,4.652%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.250%,5.088%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,3.875%,4.929%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.375%,4.649%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.000%,4.494%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
