Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-19,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,,"100,000",,Offline,,Variable,0.02%,0.02%
 2018-03-19,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,06 - 11 Months,,,"10,000",Offline,6.0,Fixed,0.03%,0.03%
 2018-03-19,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,12 - 17 Months,,,"10,000",Offline,12.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,36 - 47 Months,,,"10,000",Offline,36.0,Fixed,0.55%,0.55%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,,,"10,000.00",Online,,Variable,0.847%,0.850%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,,"10,000.00",,Online,,Variable,1.490%,1.500%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Savings,,0,,Online,,Variable,0.995%,1.000%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 IRA Savings Traditional,,0,,Online,,Variable,0.995%,1.000%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,6MCDF,360 CDs 12 months,,0,1000000,Online,6.0,Fixed,0.399%,0.400%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,,,,Online,12.0,Fixed,2.031%,2.050%
 2018-03-19,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,360 CDs 12 months,,,,Online,36.0,Fixed,2.276%,2.300%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,,,"25,000",Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,,"25,000","49,999.99",Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,,"50,000",,Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,,"10,000",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"10,000","24,999.99",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"25,000","49,999.99",Offline,,Variable,0.08%,0.08%
