Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 IRA Savings Traditional,0,,Online,,Fixed,1.00%,1.00%,Bank Website
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,6MCDF,360 CDs 6 months,0,1000000,Online,6,Fixed,0.40%,0.40%,Bank Website
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,,,Online,12,Fixed,2.03%,2.05%,Bank Website
 2018-04-06,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,360 CDs 36 months,,,Online,36,Fixed,2.28%,2.30%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,,25000,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,25000,49999,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,50000,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,,10000,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,10000,24999,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,25000,49999,Offline,,Fixed,0.08%,0.08%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,50000,99999,Offline,,Fixed,0.08%,0.08%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,100000,499999,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,500000,999999,Offline,,Fixed,0.13%,0.13%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package1,1000000,,Offline,,Fixed,0.13%,0.13%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,,10000,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,10000,24999,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,25000,49999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,50000,99999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,100000,499999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,500000,999999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,1000000,,Offline,,Fixed,0.06%,0.06%,Bank Website
